trans_date,transaction_amount
2020-06-23,52700
2020-06-23,153600
2020-06-23,153600
2020-06-23,92700
2020-06-23,62700
2020-06-23,42300
2020-06-23,31750
2020-06-23,52700
2020-06-23,163600
2020-06-23,92700
2020-06-23,245100
2020-06-23,62700
2020-06-23,42300
2020-06-23,44300
2020-06-23,52700
2020-06-23,42300
2020-06-23,42300
2020-06-23,163600
2020-06-23,163600
2020-06-23,42300
2020-06-23,52700
2020-06-23,92700
2020-06-23,92700
2020-06-23,42300
2020-06-23,163600
2020-06-23,52700
2020-06-23,52700
2020-06-23,92700
2020-06-23,62700
2020-06-23,163600
2020-06-23,42300
2020-06-23,52700
2020-06-23,153600
2020-06-23,42300
2020-06-23,92700
2020-06-23,92700
2020-06-23,21700
2020-06-23,21700
2020-06-23,153600
2020-06-23,163600
2020-06-23,42300
2020-06-23,103600
2020-06-23,40000
2020-06-23,62700
2020-06-23,92700
2020-06-23,92700
2020-06-23,92700
2020-06-23,52700
2020-06-23,42300
2020-06-23,52700
2020-06-23,52700
2020-06-23,220000
2020-06-23,92700
2020-06-23,52700
2020-06-23,52700
2020-06-23,306000
2020-06-23,52700
2020-06-23,92700
2020-06-23,103600
2020-06-23,62700
2020-06-23,62700
2020-06-23,52700
2020-06-23,62700
2020-06-23,163650
2020-06-23,21700
2020-06-23,42300
2020-06-23,163600
2020-06-23,92700
2020-06-23,42300
2020-06-23,92700
2020-06-23,245100
2020-06-23,42300
2020-06-23,52700
2020-06-23,62700
2020-06-23,52700
2020-06-23,163600
2020-06-23,52700
2020-06-23,42300
2020-06-23,52700
2020-06-23,245100
2020-06-23,245100
2020-06-23,52700
2020-06-23,42300
2020-06-23,31750
2020-06-23,82700
2020-06-23,163600
2020-06-23,31750
2020-06-23,62700
2020-06-23,163600
2020-06-23,52700
2020-06-23,92700
2020-06-23,153600
2020-06-23,52700
2020-06-23,92700
2020-06-23,42300
2020-06-23,92700
2020-06-23,62700
2020-06-23,21700
2020-06-23,153600
2020-06-23,153600
2020-06-23,46300
2020-06-23,42300
