trans_date,transaction_amount,co_fee,org_amount,co_fee_other
2020-06-23,52700,2700,50000,2700
2020-06-23,153600,3650,149950,3600
2020-06-23,153600,3650,149950,3600
2020-06-23,92700,2700,90000,2700
2020-06-23,62700,2700,60000,2700
2020-06-23,42300,0,32300,1750
2020-06-23,31750,1850,29900,1700
2020-06-23,52700,2700,50000,2700
2020-06-23,163600,3650,159950,3600
2020-06-23,92700,2700,90000,2700
2020-06-23,245100,5300,239800,5100
2020-06-23,62700,2700,60000,2700
2020-06-23,42300,0,32300,1750
2020-06-23,44300,2350,41950,2300
2020-06-23,52700,2700,50000,2700
2020-06-23,42300,0,32300,1750
2020-06-23,42300,0,32300,1750
2020-06-23,163600,3650,159950,3600
2020-06-23,163600,3650,159950,3600
2020-06-23,42300,0,32300,1750
2020-06-23,52700,2700,50000,2700
2020-06-23,92700,2700,90000,2700
2020-06-23,92700,2700,90000,2700
2020-06-23,42300,0,32300,1750
2020-06-23,163600,3650,159950,3600
2020-06-23,52700,2700,50000,2700
2020-06-23,52700,2700,50000,2700
2020-06-23,92700,2700,90000,2700
2020-06-23,62700,2700,60000,2700
2020-06-23,163600,3650,159950,3600
2020-06-23,42300,0,32300,1750
2020-06-23,52700,2700,50000,2700
2020-06-23,153600,3650,149950,3600
2020-06-23,42300,0,32300,1750
2020-06-23,92700,2700,90000,2700
2020-06-23,92700,2700,90000,2700
2020-06-23,21700,0,11700,1400
2020-06-23,21700,0,11700,1400
2020-06-23,153600,3650,149950,3600
2020-06-23,163600,3650,159950,3600
2020-06-23,42300,0,32300,1750
2020-06-23,103600,0,93600,2700
2020-06-23,40000,1850,38150,1750
2020-06-23,62700,2700,60000,2700
2020-06-23,92700,2700,90000,2700
2020-06-23,92700,2700,90000,2700
2020-06-23,92700,2700,90000,2700
2020-06-23,52700,2700,50000,2700
2020-06-23,42300,0,32300,1750
2020-06-23,52700,2700,50000,2700
2020-06-23,52700,2700,50000,2700
2020-06-23,220000,5300,214700,5100
2020-06-23,92700,2700,90000,2700
2020-06-23,52700,2700,50000,2700
2020-06-23,52700,2700,50000,2700
2020-06-23,306000,0,296000,5100
2020-06-23,52700,2700,50000,2700
2020-06-23,92700,2700,90000,2700
2020-06-23,103600,0,93600,2700
2020-06-23,62700,2700,60000,2700
2020-06-23,62700,2700,60000,2700
2020-06-23,52700,2700,50000,2700
2020-06-23,62700,2700,60000,2700
2020-06-23,163650,3650,160000,3600
2020-06-23,21700,0,11700,1400
2020-06-23,42300,0,32300,1750
2020-06-23,163600,3650,159950,3600
2020-06-23,92700,2700,90000,2700
2020-06-23,42300,0,32300,1750
2020-06-23,92700,2700,90000,2700
2020-06-23,245100,5300,239800,5100
2020-06-23,42300,0,32300,1750
2020-06-23,52700,2700,50000,2700
2020-06-23,62700,2700,60000,2700
2020-06-23,52700,2700,50000,2700
2020-06-23,163600,3650,159950,3600
2020-06-23,52700,2700,50000,2700
2020-06-23,42300,0,32300,1750
2020-06-23,52700,2700,50000,2700
2020-06-23,245100,5300,239800,5100
2020-06-23,245100,5300,239800,5100
2020-06-23,52700,2700,50000,2700
2020-06-23,42300,0,32300,1750
2020-06-23,31750,1850,29900,1700
2020-06-23,82700,2700,80000,2700
2020-06-23,163600,3650,159950,3600
2020-06-23,31750,1850,29900,1700
2020-06-23,62700,2700,60000,2700
2020-06-23,163600,3650,159950,3600
2020-06-23,52700,2700,50000,2700
2020-06-23,92700,2700,90000,2700
2020-06-23,153600,3650,149950,3600
2020-06-23,52700,2700,50000,2700
2020-06-23,92700,2700,90000,2700
2020-06-23,42300,0,32300,1750
2020-06-23,92700,2700,90000,2700
2020-06-23,62700,2700,60000,2700
2020-06-23,21700,0,11700,1400
2020-06-23,153600,3650,149950,3600
2020-06-23,153600,3650,149950,3600
2020-06-23,46300,2350,43950,2300
2020-06-23,42300,0,32300,1750
2020-06-23,62700,2700,60000,2700
2020-06-23,52700,2700,50000,2700
2020-06-23,92700,2700,90000,2700
2020-06-23,92700,2700,90000,2700
2020-06-23,406500,0,396500,6000
2020-06-23,21700,0,11700,1400
2020-06-23,92700,2700,90000,2700
2020-06-23,153600,3650,149950,3600
2020-06-23,406500,0,396500,6000
2020-06-23,92700,2700,90000,2700
2020-06-23,62700,2700,60000,2700
2020-06-23,103600,0,93600,2700
2020-06-23,21700,0,11700,1400
2020-06-23,52700,2700,50000,2700
2020-06-23,42300,0,32300,1750
2020-06-23,42300,0,32300,1750
2020-06-23,163600,3650,159950,3600
2020-06-23,35750,1850,33900,1750
2020-06-23,92700,2700,90000,2700
2020-06-23,42300,0,32300,1750
2020-06-23,21700,0,11700,1400
2020-06-23,21700,0,11700,1400
2020-06-23,62700,2700,60000,2700
2020-06-23,92700,2700,90000,2700
2020-06-23,21700,0,11700,1400
2020-06-23,52700,2700,50000,2700
2020-06-23,163600,3650,159950,3600
2020-06-23,21700,0,11700,1400
2020-06-23,92700,2700,90000,2700
2020-06-23,82700,2700,80000,2700
2020-06-23,42300,0,32300,1750
2020-06-23,92700,2700,90000,2700
2020-06-23,205100,0,195100,3600
2020-06-23,103600,0,93600,2700
2020-06-23,52700,2700,50000,2700
2020-06-23,82700,2700,80000,2700
2020-06-23,52700,2700,50000,2700
2020-06-23,92700,2700,90000,2700
2020-06-23,306000,0,296000,5100
2020-06-23,205100,0,195100,3600
2020-06-23,92700,2700,90000,2700
2020-06-23,153600,3650,149950,3600
2020-06-23,31750,1850,29900,1700
2020-06-23,62700,2700,60000,2700
2020-06-23,163600,3650,159950,3600
2020-06-23,21700,0,11700,1400
2020-06-23,62700,2700,60000,2700
2020-06-23,52700,2700,50000,2700
2020-06-23,52700,2700,50000,2700
2020-06-23,42300,0,32300,1750
2020-06-23,42300,0,32300,1750
2020-06-23,52700,2700,50000,2700
2020-06-23,82700,2700,80000,2700
2020-06-23,42300,0,32300,1750
2020-06-23,21700,0,11700,1400
2020-06-23,92700,2700,90000,2700
2020-06-24,52700,2700,50000,2700
2020-06-24,366000,6500,359500,6000
2020-06-24,123600,3650,119950,3600
2020-06-24,218711,5300,213411,5100
2020-06-24,52700,2700,50000,2700
2020-06-24,82700,2700,80000,2700
2020-06-24,42300,0,32300,1750
2020-06-24,156600,3650,152950,3600
2020-06-24,103600,0,93600,2700
2020-06-24,62700,2700,60000,2700
2020-06-24,82700,2700,80000,2700
2020-06-24,52700,2700,50000,2700
2020-06-24,186600,3650,182950,3600
2020-06-24,123600,3650,119950,3600
2020-06-24,42300,0,32300,1750
2020-06-24,52700,2700,50000,2700
2020-06-24,52700,2700,50000,2700
2020-06-24,326000,6500,319500,6000
2020-06-24,151600,3650,147950,3600
2020-06-24,42300,0,32300,1750
2020-06-24,123600,3650,119950,3600
2020-06-24,540000,7500,532500,7000
2020-06-24,160857,3650,157207,3600
2020-06-24,62700,2700,60000,2700
2020-06-24,1208000,8000,1200000,8000
2020-06-24,123600,3650,119950,3600
2020-06-24,179930,3650,176280,3600
2020-06-24,36750,1850,34900,1750
2020-06-24,82700,2700,80000,2700
2020-06-24,52700,2700,50000,2700
2020-06-24,86700,2700,84000,2700
2020-06-24,366000,6500,359500,6000
2020-06-24,205100,0,195100,3600
2020-06-24,62700,2700,60000,2700
2020-06-24,103600,0,93600,2700
2020-06-24,366000,6500,359500,6000
2020-06-24,134546,3650,130896,3600
2020-06-24,406500,0,396500,6000
2020-06-24,326000,6500,319500,6000
2020-06-24,2443000,8000,2435000,8000
2020-06-24,406500,0,396500,6000
2020-06-24,42300,0,32300,1750
2020-06-24,52700,2700,50000,2700
2020-06-24,42300,0,32300,1750
2020-06-24,82700,2700,80000,2700
2020-06-24,62700,2700,60000,2700
2020-06-24,42300,0,32300,1750
2020-06-24,52700,2700,50000,2700
2020-06-24,42300,0,32300,1750
2020-06-24,103600,0,93600,2700
2020-06-24,153600,3650,149950,3600
2020-06-24,103600,0,93600,2700
2020-06-24,366000,6500,359500,6000
2020-06-24,42300,0,32300,1750
2020-06-24,120000,3650,116350,3600
2020-06-24,52700,2700,50000,2700
2020-06-24,82700,2700,80000,2700
2020-06-24,42300,0,32300,1750
2020-06-24,52700,2700,50000,2700
2020-06-24,3008000,8000,3000000,8000
2020-06-24,52700,2700,50000,2700
2020-06-24,103600,0,93600,2700
2020-06-24,42300,0,32300,1750
2020-06-24,205100,0,195100,3600
2020-06-24,426500,7000,419500,6500
2020-06-24,143600,3650,139950,3600
2020-06-24,103600,0,93600,2700
2020-06-24,406500,0,396500,6000
2020-06-24,426500,7000,419500,6500
2020-06-24,406500,0,396500,6000
2020-06-24,92700,2700,90000,2700
2020-06-24,908000,8000,900000,8000
2020-06-24,1208000,8000,1200000,8000
2020-06-24,52700,2700,50000,2700
2020-06-24,205100,0,195100,3600
2020-06-24,42300,0,32300,1750
2020-06-24,52700,2700,50000,2700
2020-06-24,265100,5300,259800,5100
2020-06-24,3008000,8000,3000000,8000
2020-06-24,103600,0,93600,2700
2020-06-24,82700,2700,80000,2700
2020-06-24,82700,2700,80000,2700
2020-06-24,42300,0,32300,1750
2020-06-24,60000,2700,57300,2700
2020-06-24,52700,2700,50000,2700
2020-06-24,82700,2700,80000,2700
2020-06-24,52700,2700,50000,2700
2020-06-24,52700,2700,50000,2700
2020-06-24,42300,0,32300,1750
2020-06-24,406500,0,396500,6000
2020-06-24,52700,2700,50000,2700
2020-06-24,607500,0,597500,7000
2020-06-24,82700,2700,80000,2700
2020-06-24,1208000,8000,1200000,8000
2020-06-24,82700,2700,80000,2700
2020-06-24,52700,2700,50000,2700
2020-06-24,3008000,8000,3000000,8000
2020-06-24,52700,2700,50000,2700
2020-06-24,62700,2700,60000,2700
2020-06-25,205100,0,195100,3600
2020-06-25,143650,3650,140000,3600
2020-06-25,245300,5300,240000,5100
2020-06-25,205100,0,195100,3600
2020-06-25,52700,2700,50000,2700
2020-06-25,52700,2700,50000,2700
2020-06-25,205100,0,195100,3600
2020-06-25,42350,2350,40000,2300
2020-06-25,205100,0,195100,3600
2020-06-25,205100,0,195100,3600
2020-06-25,183650,3650,180000,3600
2020-06-25,205100,0,195100,3600
2020-06-25,21850,1850,20000,1700
2020-06-25,205100,0,195100,3600
2020-06-25,21850,1850,20000,1700
2020-06-25,205100,0,195100,3600
2020-06-25,163650,3650,160000,3600
2020-06-25,205100,0,195100,3600
2020-06-25,205100,0,195100,3600
2020-06-25,205100,0,195100,3600
2020-06-25,369000,6500,362500,6000
2020-06-25,183650,3650,180000,3600
2020-06-25,205100,0,195100,3600
2020-06-25,205100,0,195100,3600
2020-06-25,306000,0,296000,5100
2020-06-25,183650,3650,180000,3600
2020-06-25,205100,0,195100,3600
2020-06-25,16450,1450,15000,1400
2020-06-25,82700,2700,80000,2700
2020-06-25,183650,3650,180000,3600
2020-06-25,205100,0,195100,3600
2020-06-25,205100,0,195100,3600
2020-06-25,205100,0,195100,3600
2020-06-25,275300,5300,270000,5100
2020-06-25,245300,5300,240000,5100
2020-06-25,52700,2700,50000,2700
2020-06-25,16450,1450,15000,1400
2020-06-25,21850,1850,20000,1700
2020-06-25,205100,0,195100,3600
2020-06-25,82700,2700,80000,2700
2020-06-25,205100,0,195100,3600
2020-06-25,62700,2700,60000,2700
2020-06-25,205100,0,195100,3600
2020-06-25,52700,2700,50000,2700
2020-06-25,205100,0,195100,3600
2020-06-25,800000,8000,792000,7500
2020-06-25,1808000,8000,1800000,8000
2020-06-25,183650,3650,180000,3600
2020-06-25,153650,3650,150000,3600
2020-06-25,487000,7000,480000,6500
2020-06-25,52700,2700,50000,2700
2020-06-25,205100,0,195100,3600
2020-06-25,487000,7000,480000,6500
2020-06-25,205100,0,195100,3600
2020-06-25,480000,7000,473000,6500
2020-06-25,205100,0,195100,3600
2020-06-25,183650,3650,180000,3600
2020-06-25,205100,0,195100,3600
2020-06-25,21850,1850,20000,1700
2020-06-25,205100,0,195100,3600
2020-06-25,205100,0,195100,3600
2020-06-25,42350,2350,40000,2300
2020-06-25,42350,2350,40000,2300
2020-06-25,123650,3650,120000,3600
2020-06-25,205100,0,195100,3600
2020-06-25,5950,950,5000,850
2020-06-25,34350,1850,32500,1750
2020-06-25,205100,0,195100,3600
2020-06-25,123650,3650,120000,3600
2020-06-25,42350,2350,40000,2300
2020-06-25,205100,0,195100,3600
2020-06-25,205100,0,195100,3600
2020-06-26,21850,1850,20000,1700
2020-06-26,2008000,8000,2000000,8000
2020-06-26,26850,1850,25000,1700
2020-06-26,103650,3650,100000,3600
2020-06-26,677500,8000,669500,7500
2020-06-26,3158000,10000,3148000,9000
2020-06-26,20200,1450,18750,1400
2020-06-26,507000,0,497000,6500
2020-06-26,149850,3650,146200,3600
2020-06-26,123650,3650,120000,3600
2020-06-26,21850,1850,20000,1700
